target	source	value
ICLEI	Cebu	1
ICLEI	Semarang	1
ICLEI	Byron Shire	1
ICLEI	Suva	1
ICLEI	Lautoka	1
ICLEI	Adelaide	1
ICLEI	Dunedin	1
ICLEI	Palmerston North	1
ICLEI	Unley	1
ICLEI	Moreland	1
ICLEI	Sydney	1
ICLEI	Nadi	1
ICLEI	Perth	1
ICLEI	Darebin	1
ICLEI	Hobsons Bay	1
ICLEI	Mount Barker	1
ICLEI	Scenic Rim	1
ICLEI	Port Vila	1
ICLEI	Auckland	1
ICLEI	Penrith	1
ICLEI	Liverpool	1
ICLEI	Yarra	1
ICLEI	Honiara	1
ICLEI	Peninsula	1
ICLEI	Melbourne	1
ICLEI	Mandurah	1
ICLEI	Manningham	1
ICLEI	Port Phillip	1
ICLEI	Ballarat	1
ICLEI	Christchurch	1
ICLEI	Joondalup	1
ICLEI	Brisbane	1
ICLEI	Mackay	1
ICLEI	East Gippsland Shire	1
ICLEI	Newcastle	1
ICLEI	Greater Bendigo	1
100RC	New York	1
100RC	Bangkok	1
100RC	Can Tho City	1
100RC	Chennai	1
100RC	Da nang	1
100RC	Deyang	1
100RC	Huangshi	1
100RC	Jaipur	1
100RC	Jakarta	1
100RC	Kyoto	1
100RC	Mandalay	1
100RC	Malacca	1
100RC	Pune	1
100RC	Semarang	1
100RC	Seoul	1
100RC	Singapore	1
100RC	Surat	1
100RC	Toyama	1
100RC	Christchurch	1
100RC	Melbourne	1
100RC	Sydney	1
100RC	Wellington	1
100RC	Jiaxing	1
100RC	Wuxi	1
C40	Beijing	1
C40	Chengdu	1
C40	Fuzhou	1
C40	Guangzhou	1
C40	Hangzhou	1
C40	Hong Kong	1
C40	Nanjing	1
C40	Qingdao	1
C40	Shanghai	1
C40	Shenzhen	1
C40	Wuhan	1
C40	Zhenjiang	1
C40	Auckland	1
C40	Bangkok	1
C40	Hanoi	1
C40	Ho Chi Minh City	1
C40	Jakarta	1
C40	Kuala Lumpur	1
C40	Melbourne	1
C40	Quezon City	1
C40	Seoul	1
C40	Singapore	1
C40	Sydney	1
C40	Tokyo	1
C40	Yokohama	1
C40	Amman	1
C40	Bangalore	1
C40	Chennai	1
C40	Delhi	1
C40	Dhaka	1
C40	Dubai	1
C40	Karachi	1
C40	Kolkata	1
GCoM	Brussels	1
GCoM	Dhaka	1
GCoM	Singra	1
GCoM	Barisal	1
GCoM	Madaripur	1
GCoM	Thimphu	1
GCoM	Patna	1
GCoM	Rajkot	1
GCoM	Gwalior	1
GCoM	Shimla	1
GCoM	Panaji	1
GCoM	Surat	1
GCoM	Gangtok	1
GCoM	Matale	1
GCoM	Kathmandu	1
GCoM	Karachi	1
GCoM	Nagpur	1
GCoM	Yerevan	1
GCoM	Gyumri	1
GCoM	Vanadzor	1
GCoM	Ejmiatsin	1
GCoM	Kapan	1
GCoM	Hrazdan	1
GCoM	Ashtarak	1
GCoM	Goris	1
GCoM	Artik	1
GCoM	Spitak	1
GCoM	Dilijan	1
GCoM	Alaverdi	1
GCoM	Parakar	1
GCoM	Tashir	1
GCoM	Aparan	1
GCoM	Vayk	1
GCoM	Tsakhkadzor	1
GCoM	Akhtala	1
GCoM	Gavar	1
GCoM	Ijevan	1
GCoM	Kasagh	1
GCoM	Masis	1
GCoM	Sisian	1
GCoM	Icherisheher	1
GCoM	Mingachevir	1
GCoM	Tbilisi	1
GCoM	Kutaisi	1
GCoM	Batumi	1
GCoM	Rustavi	1
GCoM	Bolnisi	1
GCoM	Telavi	1
GCoM	Gori	1
GCoM	Akhaltsikhe	1
GCoM	Tianeti	1
GCoM	Mtskheta	1
GCoM	Kazbegi	1
GCoM	Akhmeta	1
