name	faculty
Hong Kong	7
Tokyo	7
Yokohama	7
Hiroshima	7
Kitakyushu	7
Toyama	7
Otsu	7
Niseko	7
Goto	7
Toyonaka	7
Nanmoku village	7
Okazaki	7
Toyota	7
Mishima	7
Yosano	7
Toyohashi	7
Kaga	7
Kasai	7
Kyoto	7
Takayama village	7
Tokorozawa	7
Seoul	7
Daegu	7
Suwon	7
Changwon	7
Ansan	7
Jeonju	7
Nam-Gu	7
Dangjin	7
Taipei	7
Kaohsiung	7
New Taipei	7
Taoyuan	7
Tainan	7
Taichung	7
Bandar Seri Begawan	8
Battambang	8
Phnom Penh	8
Siem Reap	8
Makassar	8
Banyuwangi	8
Jakarta	8
Luang Prebang	8
Vientiane	8
Johor Bahru	8
Kuala Lumpur	8
Kota Kinabalu	8
Kuching	8
Naypyidaw	8
Mandalay	8
Yangon	8
Cebu	8
Davao	8
Manila	8
Singapore	8
Bangkok	8
Chonburi	8
Phuket	8
Da Nang	8
Hanoi	8
Ho Chi Minh City	8
Adelaide	9
Bhimeshwor	9
Bethlehem	9
Caluya	9
Andong	9
Buk-Gu	9
Changwon	9
Dalseo-gu	9
Damyang	9
Dangjin	9
Gagseo-gu	9
Geochang	9
Gimhae	9
Gumi	9
Gunsan	9
Gwangju	9
Gyeongsan	9
Hadong	9
Hoengseong	9
Jecheon	9
Jincheon	9
Paju	9
Pohang	9
Saha-gu	9
Suncheon	9
Suseong-gu	9
Ulsan jung-gu	9
Yeosu	9
Phuket	9
London	10
AL-Karak	10
Beirut	10
Dhaka	10
Irbid	10
Majdal Anjar	10
Male	10
Mumbai	10
Narayanganj	10
Nowshera	10
Peshawar	10
Quetta	10
Saida	10
Tripoli	10
Victoria	10
Zarga	10
Victoria	10
Barcelona	11
Ahvaz	11
Amman	11
Baghdad	11
Bangkok	11
Beijing	11
Beyrouth	11
Bhopal	11
Bogor	11
Busan	11
Changchun	11
Changsha	11
Chengdu	11
Chongqing	11
Colombo	11
Daegu	11
Daejeon	11
Dalian	11
Diyarbakir	11
East Kalimantan	11
Faisalabad	11
Fuzhou	11
Gaziantep	11
Goyang	11
Guangzhou	11
Gujranwala	11
Gwangju	11
Gyeonggi-do	11
Haikou	11
Hangzhou	11
Hanoi	11
Harbin	11
Hyderabad	11
Incheon	11
Isfahan	11
istanbul	11
Jakarta	11
Jilin	11
Jinan	11
Kaohsiung	11
Karaj	11
Kathmandu	11
Kuala Lumpur	11
Kunming	11
Lahore	11
Male	11
Mashhad	11
Nanjing	11
Nanning	11
New Delhi	11
Taipei	11
Ramallah	11
Seoul	11
Shanghai	11
Shenzhen	11
Shiraz	11
South Tangerang	11
Surabaya	11
Tabriz	11
Taichung	11
Taipei	11
Tehran	11
Tianjin	11
Ulsan	11
Wuhan	11
Xian	11
Xiamen	11
Yiwu	11
Zhengzhou	11
New York	12
Mandalay	12
Chiang Mai	12
Bangkok	12
Manila	12
Ho Chi Minh City	12
Surabaya	12
Yangon	13
Taipei	13
Delhi	13
Jakarta	13
Tokyo	13
Seoul	13
Kuala Lumpur	13
Ulaanbaatar	13
Manila	13
Tomsk	13
Singapore	13
Bangkok	13
Hanoi	13
Preah Sihanouk	14
Changyi	14
Dongying	14
Fangchenggang	14
Haikou	14
Haiyang	14
